shop_id,shop_name,city,monthly_sales_usd,employee_count,category
184,DIY Manuals,Berlin,19500.7,5,Books
185,Executive Desks,Tokyo,82500.45,16,Furniture
186,Fiber Optics,New York,115000.6,28,Electronics
187,Frozen Desserts,Paris,35900.5,7,Groceries
188,Belt Buckles,Sydney,18900.25,4,Apparel
189,World Literature,Shanghai,14700.8,4,Books
190,Rocking Chairs,London,42100.15,8,Furniture
191,The Connector,Berlin,94500.7,19,Electronics
192,Wine & Spirits,Tokyo,56200.3,11,Groceries
193,Ski Gear,New York,31500.6,6,Apparel
194,Travel Memoirs,Paris,17000.4,4,Books
195,Filing Cabinets,Sydney,55500.9,10,Furniture
196,Power Cable Store,Shanghai,88000.4,17,Electronics
197,Catering Supplies,London,41000.5,8,Groceries
198,Dance Wear,Berlin,23100.1,5,Apparel
199,Coding Books,Tokyo,20500.9,5,Books
200,Accent Chairs,New York,46900.3,9,Furniture
