"product_id","product_name","category","stock_quantity","price","last_updated_date"
85,"Workout Bench","Fitness",10,"150.00","2025-10-05"
86,"Hoodie Zip-Up","Apparel",150,"40.00","2025-10-02"
87,"Dress Casual","Apparel",90,"55.00","2025-10-07"
88,"Skirt A-line","Apparel",70,"30.00","2025-10-04"
89,"Pants Cargo","Apparel",120,"45.00","2025-09-28"
90,"Sneakers Leather","Apparel",85,"90.00","2025-10-09"
91,"Sandals Summer","Apparel",110,"25.00","2025-10-01"
92,"Headphones Noise Cancelling","Electronics",40,"350.00","2025-10-08"
93,"Soundbar","Electronics",30,"180.00","2025-10-06"
94,"4K Blu-ray Player","Electronics",20,"150.00","2025-10-03"
95,"Projector Portable","Electronics",15,"220.00","2025-09-25"
96,"Home Theater System","Electronics",10,"500.00","2025-10-10"
97,"Drone Camera","Electronics",8,"700.00","2025-09-27"
98,"Robot Vacuum","Home Goods",35,"250.00","2025-10-04"
99,"Cordless Drill","Home Goods",50,"80.00","2025-10-08"
100,"Toolbox","Home Goods",60,"40.00","2025-10-06"
101,"Pressure Washer","Home Goods",18,"130.00","2025-10-03"
102,"Telescope","Electronics",12,"199.00","2025-09-28"
103,"Microscope","Electronics",15,"140.00","2025-10-01"
104,"Drawing Tablet","Electronics",45,"95.00","2025-09-25"
105,"VR Headset","Electronics",20,"350.00","2025-10-05"
106,"Electric Scooter","Electronics",10,"299.00","2025-10-02"
107,"Portable Charger","Mobile Accessories",250,"20.00","2025-10-08"
108,"USB-C Cable","Mobile Accessories",400,"10.00","2025-10-06"
109,"Car Phone Holder","Mobile Accessories",180,"15.00","2025-10-03"
110,"Selfie Stick","Mobile Accessories",220,"12.00","2025-09-20"
111,"Bluetooth Earpiece","Mobile Accessories",150,"25.00","2025-10-04"
112,"Electric Toothbrush","Home Goods",80,"55.00","2025-10-10"
113,"Hair Dryer","Home Goods",95,"45.00","2025-09-27"
114,"Curling Iron","Home Goods",70,"30.00","2025-10-05"
115,"Electric Shaver","Home Goods",60,"60.00","2025-10-02"
116,"Digital Scale","Home Goods",110,"20.00","2025-10-07"
117,"Luggage Set 3-piece","Apparel",30,"180.00","2025-10-01"
118,"Travel Backpack","Apparel",50,"75.00","2025-10-06"
119,"Wallet Leather","Apparel",100,"40.00","2025-09-29"
120,"Belt Casual","Apparel",150,"20.00","2025-10-04"
121,"Sunglasses UV","Apparel",90,"35.00","2025-10-08"
122,"Hiking Boots","Apparel",40,"110.00","2025-10-03"
123,"Smart Thermostat","Home Goods",25,"150.00","2025-09-28"
124,"Security Camera","Home Goods",30,"99.00","2025-10-05"
125,"Smart Lock","Home Goods",15,"120.00","2025-10-02"
126,"Video Doorbell","Home Goods",20,"180.00","2025-10-07"
127,"LED Light Strip","Home Goods",180,"25.00","2025-10-01"
128,"Coffee Grinder","Home Goods",70,"30.00","2025-10-06"
129,"Juicer Slow","Home Goods",40,"150.00","2025-09-29"
130,"Espresso Machine","Home Goods",20,"300.00","2025-10-04"
131,"Food Scale","Home Goods",130,"20.00","2025-10-08"
132,"Stand Mixer","Home Goods",25,"199.00","2025-10-03"
133,"Gaming Headset","Electronics",65,"80.00","2025-10-01"
134,"Gaming Monitor","Electronics",35,"350.00","2025-10-06"
135,"Gaming Mouse","Electronics",100,"55.00","2025-09-29"
136,"Gaming PC","Electronics",10,"1200.00","2025-10-05"
137,"Smart Keyboard","Electronics",50,"150.00","2025-10-02"
138,"Drawing Pad","Electronics",70,"45.00","2025-10-07"
139,"3D Printer","Electronics",10,"250.00","2025-09-28"
140,"Graphics Card RTX 4080","Electronics",5,"800.00","2025-10-04"
141,"Processor Ryzen 9","Electronics",8,"400.00","2025-10-09"
142,"Motherboard High-end","Electronics",12,"200.00","2025-10-01"
143,"RAM 32GB","Electronics",40,"100.00","2025-10-08"
144,"SSD 1TB","Electronics",55,"80.00","2025-10-06"
145,"Networking Cable","Electronics",300,"5.00","2025-10-03"
146,"Router Wi-Fi 6","Electronics",30,"90.00","2025-09-25"
147,"Keyboard Wireless","Electronics",150,"40.00","2025-10-10"
148,"Monitor Ultrawide","Electronics",15,"550.00","2025-09-27"
149,"Webcam 4K","Electronics",20,"120.00","2025-10-04"
150,"Laptop Stand","Electronics",90,"25.00","2025-10-08"
151,"Backpack Laptop","Mobile Accessories",80,"50.00","2025-10-06"
152,"Docking Station","Electronics",25,"75.00","2025-10-03"
153,"Projector Screen","Electronics",18,"60.00","2025-09-28"
154,"Airpods Pro","Electronics",40,"249.00","2025-10-05"
155,"Homepod Mini","Electronics",50,"99.00","2025-10-02"
156,"Apple Watch","Electronics",20,"399.00","2025-10-07"
157,"iPad Air","Electronics",15,"599.00","2025-10-01"
158,"Macbook Air M2","Electronics",10,"1099.00","2025-10-06"
159,"iMac 24-inch","Electronics",5,"1299.00","2025-09-29"
160,"Samsung Galaxy S24","Electronics",12,"799.00","2025-10-04"
161,"Google Pixel 8","Electronics",18,"699.00","2025-10-08"
162,"Folding Chair","Furniture",75,"20.00","2025-10-03"
163,"Folding Table","Furniture",60,"35.00","2025-09-25"
164,"Patio Umbrella","Furniture",25,"70.00","2025-10-10"
165,"Hammock","Furniture",40,"50.00","2025-09-27"
166,"Grill Charcoal","Home Goods",30,"80.00","2025-10-04"
167,"Grill Gas","Home Goods",15,"250.00","2025-10-08"
168,"Garden Hose","Home Goods",90,"25.00","2025-10-06"
169,"Lawn Mower","Home Goods",10,"200.00","2025-10-03"
170,"Trimmer Electric","Home Goods",25,"45.00","2025-09-28"
171,"Tool Chest","Home Goods",8,"150.00","2025-10-05"
172,"Smart Bulb","Home Goods",150,"15.00","2025-10-02"
173,"Smart Plug","Home Goods",200,"10.00","2025-10-07"
174,"Smart Lock Door","Home Goods",20,"120.00","2025-10-01"
175,"Sound Machine","Home Goods",60,"30.00","2025-10-06"
176,"Humidifier","Home Goods",40,"50.00","2025-09-29"
177,"Dehumidifier","Home Goods",20,"110.00","2025-10-04"
178,"Portable Fan","Home Goods",100,"25.00","2025-10-08"
179,"Tower Fan","Home Goods",70,"55.00","2025-10-03"
180,"Air Conditioner Window","Home Goods",12,"199.00","2025-09-28"
181,"Electric Blanket","Home Goods",35,"60.00","2025-10-05"
182,"Heated Pad","Home Goods",50,"25.00","2025-10-02"
183,"Foot Massager","Home Goods",30,"45.00","2025-10-07"
184,"Neck Massager","Home Goods",40,"35.00","2025-10-01"
185,"Back Massager","Home Goods",25,"65.00","2025-10-06"
186,"Air Purifier HEPA","Home Goods",30,"180.00","2025-09-29"
187,"Smart Sprinkler Controller","Home Goods",15,"150.00","2025-10-04"
188,"Smart Garage Opener","Home Goods",20,"80.00","2025-10-08"
189,"Smart Light Switch","Home Goods",100,"20.00","2025-10-03"
190,"Smart Speaker Echo","Electronics",60,"99.00","2025-09-28"
191,"Smart Display Google","Electronics",45,"120.00","2025-10-05"
192,"Smart Camera Outdoor","Home Goods",18,"140.00","2025-10-02"
193,"Smart Door Lock","Home Goods",15,"150.00","2025-10-07"
194,"Smart Lock Wifi","Home Goods",10,"180.00","2025-10-01"
195,"Smart Speaker JBL","Electronics",30,"75.00","2025-10-06"
196,"Smart Speaker Sonos","Electronics",20,"199.00","2025-09-29"
197,"Smart Speaker Bose","Electronics",25,"150.00","2025-10-04"
198,"Smart Speaker Marshall","Electronics",15,"250.00","2025-10-08"
199,"Smart Speaker Amazon","Electronics",50,"80.00","2025-10-03"
200,"Smart Speaker Apple","Electronics",30,"99.00","2025-09-28"
